,Respondent,DatabaseDesireNextYear
285,688,MongoDB
285,688,MySQL
285,688,PostgreSQL
285,688,Redis
286,689,Microsoft SQL Server
287,691,Elasticsearch
287,691,MySQL
287,691,SQLite
288,693,MariaDB
288,693,MySQL
288,693,Oracle
288,693,PostgreSQL
288,693,Redis
289,694,PostgreSQL
290,695,Microsoft SQL Server
291,696,Microsoft SQL Server
292,697,Elasticsearch
292,697,MariaDB
292,697,PostgreSQL
293,699,SQLite
294,703,Elasticsearch
294,703,MongoDB
294,703,MySQL
294,703,PostgreSQL
294,703,Redis
295,705,Redis
295,705,Other(s):
296,707,MongoDB
296,707,MySQL
296,707,SQLite
297,708,PostgreSQL
298,712,
299,714,MariaDB
299,714,MySQL
300,715,MariaDB
300,715,MySQL
301,718,Elasticsearch
301,718,Microsoft SQL Server
301,718,SQLite
301,718,Other(s):
302,721,PostgreSQL
303,724,
304,725,MongoDB
304,725,MySQL
305,731,MySQL
306,732,MongoDB
306,732,Microsoft SQL Server
307,736,Oracle
308,740,DynamoDB
309,741,DynamoDB
309,741,Firebase
309,741,MongoDB
309,741,MySQL
309,741,PostgreSQL
310,742,PostgreSQL
310,742,Redis
310,742,SQLite
311,743,Elasticsearch
311,743,MariaDB
311,743,Redis
312,744,Other(s):
313,746,PostgreSQL
313,746,Redis
313,746,SQLite
314,749,Microsoft SQL Server
315,751,Elasticsearch
315,751,MariaDB
315,751,MongoDB
315,751,MySQL
315,751,Redis
315,751,SQLite
316,752,Microsoft SQL Server
317,757,MongoDB
317,757,Microsoft SQL Server
317,757,PostgreSQL
318,758,
319,761,Firebase
319,761,MariaDB
319,761,MongoDB
319,761,Microsoft SQL Server
319,761,MySQL
320,762,Microsoft SQL Server
321,764,Microsoft SQL Server
321,764,Oracle
322,765,PostgreSQL
323,768,Elasticsearch
323,768,PostgreSQL
323,768,Redis
323,768,SQLite
324,769,Firebase
324,769,PostgreSQL
324,769,Redis
325,771,PostgreSQL
326,773,DynamoDB
326,773,Elasticsearch
326,773,PostgreSQL
326,773,Redis
327,774,Elasticsearch
327,774,Microsoft SQL Server
327,774,PostgreSQL
327,774,Redis
328,776,MySQL
329,777,
330,779,DynamoDB
330,779,MongoDB
330,779,PostgreSQL
331,780,Firebase
331,780,MongoDB
331,780,MySQL
331,780,PostgreSQL
332,781,Elasticsearch
332,781,Oracle
332,781,PostgreSQL
332,781,Redis
333,786,PostgreSQL
334,791,PostgreSQL
335,795,Microsoft SQL Server
335,795,Other(s):
336,797,
337,801,MongoDB
337,801,SQLite
338,805,
339,812,Elasticsearch
339,812,MongoDB
339,812,Microsoft SQL Server
339,812,Redis
340,814,Microsoft SQL Server
340,814,PostgreSQL
340,814,Redis
340,814,SQLite
341,816,Firebase
341,816,MariaDB
341,816,MySQL
341,816,Redis
342,817,PostgreSQL
342,817,Redis
342,817,SQLite
343,827,MongoDB
343,827,Redis
344,828,DynamoDB
344,828,Elasticsearch
344,828,MongoDB
344,828,Microsoft SQL Server
344,828,MySQL
344,828,Oracle
344,828,PostgreSQL
345,829,MongoDB
346,830,DynamoDB
346,830,MongoDB
346,830,MySQL
346,830,Oracle
346,830,PostgreSQL
347,831,MySQL
348,832,Firebase
348,832,MySQL
348,832,SQLite
349,837,MySQL
349,837,PostgreSQL
349,837,SQLite
350,842,
351,843,MariaDB
351,843,Microsoft SQL Server
351,843,MySQL
351,843,PostgreSQL
351,843,Redis
352,845,Firebase
352,845,Microsoft SQL Server
353,846,
354,848,DynamoDB
354,848,Firebase
354,848,MongoDB
354,848,MySQL
354,848,PostgreSQL
354,848,SQLite
355,850,MongoDB
355,850,PostgreSQL
356,853,Elasticsearch
356,853,MongoDB
356,853,MySQL
356,853,Redis
357,857,
358,859,Microsoft SQL Server
358,859,MySQL
358,859,Oracle
359,860,Firebase
359,860,MongoDB
359,860,SQLite
360,861,MongoDB
361,864,Couchbase
361,864,DynamoDB
361,864,MongoDB
362,865,
363,869,MongoDB
363,869,SQLite
364,870,MongoDB
364,870,PostgreSQL
364,870,Redis
365,871,Cassandra
365,871,Couchbase
365,871,Elasticsearch
365,871,MariaDB
365,871,MongoDB
365,871,PostgreSQL
366,873,SQLite
367,874,Elasticsearch
367,874,Redis
368,880,MySQL
368,880,PostgreSQL
368,880,Redis
369,882,
370,883,
371,885,Firebase
371,885,MongoDB
371,885,MySQL
371,885,PostgreSQL
372,890,SQLite
373,893,Firebase
373,893,Microsoft SQL Server
374,895,DynamoDB
374,895,Elasticsearch
374,895,Redis
374,895,SQLite
375,896,PostgreSQL
375,896,SQLite
376,898,Elasticsearch
376,898,MongoDB
376,898,PostgreSQL
377,899,MongoDB
378,900,Couchbase
378,900,Firebase
378,900,PostgreSQL
378,900,SQLite
379,901,DynamoDB
379,901,Microsoft SQL Server
380,907,PostgreSQL
380,907,Redis
380,907,SQLite
380,907,Other(s):
381,909,Microsoft SQL Server
382,910,Elasticsearch
382,910,PostgreSQL
382,910,Redis
383,913,MySQL
383,913,PostgreSQL
384,914,MariaDB
384,914,Oracle
385,916,Elasticsearch
386,917,Microsoft SQL Server
387,918,MySQL
388,922,MySQL
389,923,Elasticsearch
390,926,PostgreSQL
391,927,MariaDB
391,927,MongoDB
391,927,Microsoft SQL Server
391,927,MySQL
392,929,MongoDB
392,929,SQLite
393,930,
394,932,Microsoft SQL Server
394,932,SQLite
395,934,MongoDB
396,935,Microsoft SQL Server
396,935,PostgreSQL
397,939,Microsoft SQL Server
398,942,PostgreSQL
399,945,
400,948,Microsoft SQL Server
400,948,PostgreSQL
401,949,PostgreSQL
401,949,Redis
402,951,MongoDB
402,951,PostgreSQL
402,951,Redis
403,952,
404,953,
405,955,Firebase
406,957,Elasticsearch
406,957,MongoDB
406,957,Oracle
407,958,Firebase
408,959,Microsoft SQL Server
408,959,PostgreSQL
408,959,Redis
409,962,PostgreSQL
410,965,Firebase
410,965,MySQL
410,965,PostgreSQL
410,965,Redis
411,970,Microsoft SQL Server
411,970,Oracle
411,970,SQLite
412,973,Elasticsearch
412,973,MongoDB
412,973,MySQL
412,973,PostgreSQL
412,973,SQLite
413,975,Elasticsearch
413,975,MySQL
413,975,PostgreSQL
414,977,MongoDB
414,977,Microsoft SQL Server
414,977,PostgreSQL
415,978,Elasticsearch
415,978,PostgreSQL
415,978,Redis
416,979,MariaDB
416,979,MongoDB
417,981,Couchbase
417,981,Firebase
417,981,MongoDB
417,981,Microsoft SQL Server
417,981,Redis
418,983,Microsoft SQL Server
419,987,PostgreSQL
419,987,Redis
419,987,SQLite
420,1005,DynamoDB
420,1005,MongoDB
420,1005,MySQL
421,1006,Elasticsearch
421,1006,MongoDB
422,1007,DynamoDB
422,1007,Elasticsearch
422,1007,MySQL
422,1007,PostgreSQL
422,1007,Redis
423,1009,PostgreSQL
423,1009,Redis
424,1010,Firebase
424,1010,Other(s):
425,1013,Cassandra
425,1013,Couchbase
425,1013,DynamoDB
425,1013,Firebase
425,1013,MariaDB
425,1013,MongoDB
425,1013,Microsoft SQL Server
425,1013,MySQL
425,1013,Oracle
425,1013,PostgreSQL
425,1013,SQLite
426,1014,PostgreSQL
427,1015,Elasticsearch
427,1015,PostgreSQL
428,1017,Elasticsearch
428,1017,MySQL
428,1017,PostgreSQL
428,1017,Redis
429,1022,MongoDB
429,1022,MySQL
430,1023,Elasticsearch
430,1023,Microsoft SQL Server
430,1023,PostgreSQL
430,1023,Other(s):
431,1027,Firebase
432,1030,Firebase
432,1030,Microsoft SQL Server
432,1030,PostgreSQL
432,1030,Redis
433,1033,MongoDB
433,1033,Microsoft SQL Server
433,1033,SQLite
434,1034,Elasticsearch
434,1034,MySQL
434,1034,PostgreSQL
434,1034,Other(s):
435,1035,Elasticsearch
435,1035,MongoDB
435,1035,Microsoft SQL Server
435,1035,MySQL
435,1035,Oracle
435,1035,PostgreSQL
435,1035,Redis
436,1036,Cassandra
436,1036,Elasticsearch
436,1036,Redis
437,1037,Firebase
437,1037,PostgreSQL
437,1037,Redis
438,1038,MongoDB
438,1038,PostgreSQL
438,1038,SQLite
438,1038,Other(s):
439,1039,DynamoDB
439,1039,Elasticsearch
439,1039,MariaDB
439,1039,MySQL
439,1039,PostgreSQL
439,1039,Redis
439,1039,SQLite
440,1042,MySQL
440,1042,PostgreSQL
441,1043,Cassandra
441,1043,Elasticsearch
441,1043,PostgreSQL
441,1043,Redis
442,1045,MongoDB
442,1045,Microsoft SQL Server
442,1045,PostgreSQL
442,1045,Redis
443,1050,MariaDB
443,1050,MySQL
444,1051,Firebase
444,1051,Microsoft SQL Server
444,1051,MySQL
444,1051,Redis
444,1051,SQLite
445,1054,Cassandra
445,1054,Microsoft SQL Server
445,1054,Redis
446,1055,MongoDB
446,1055,SQLite
447,1056,Cassandra
447,1056,MongoDB
447,1056,PostgreSQL
448,1058,Cassandra
448,1058,DynamoDB
448,1058,Elasticsearch
449,1061,Microsoft SQL Server
450,1063,Elasticsearch
451,1064,
452,1067,MariaDB
452,1067,MongoDB
452,1067,PostgreSQL
452,1067,Redis
453,1068,PostgreSQL
454,1070,MongoDB
454,1070,Microsoft SQL Server
454,1070,SQLite
455,1071,MongoDB
455,1071,Microsoft SQL Server
456,1073,MongoDB
456,1073,Microsoft SQL Server
456,1073,PostgreSQL
456,1073,Redis
457,1074,MariaDB
457,1074,MongoDB
457,1074,Microsoft SQL Server
457,1074,PostgreSQL
458,1076,
459,1077,Firebase
459,1077,MongoDB
459,1077,PostgreSQL
459,1077,Redis
460,1079,Couchbase
460,1079,Elasticsearch
460,1079,MongoDB
460,1079,Oracle
461,1088,Cassandra
461,1088,Couchbase
461,1088,DynamoDB
461,1088,Elasticsearch
461,1088,Firebase
461,1088,MariaDB
461,1088,MongoDB
461,1088,Microsoft SQL Server
461,1088,MySQL
461,1088,PostgreSQL
461,1088,Redis
461,1088,SQLite
462,1089,
463,1096,Cassandra
463,1096,DynamoDB
463,1096,Elasticsearch
463,1096,PostgreSQL
464,1097,PostgreSQL
464,1097,Redis
465,1099,MySQL
466,1107,MySQL
467,1109,MariaDB
467,1109,Microsoft SQL Server
467,1109,MySQL
467,1109,PostgreSQL
468,1110,Elasticsearch
468,1110,Redis
468,1110,SQLite
469,1113,Elasticsearch
469,1113,MariaDB
469,1113,MySQL
469,1113,PostgreSQL
469,1113,Redis
469,1113,SQLite
470,1114,MySQL
470,1114,PostgreSQL
470,1114,Redis
471,1117,MariaDB
471,1117,MongoDB
472,1120,Firebase
472,1120,SQLite
473,1121,Cassandra
473,1121,Elasticsearch
473,1121,Firebase
473,1121,MongoDB
473,1121,PostgreSQL
473,1121,Redis
473,1121,SQLite
474,1122,PostgreSQL
475,1123,MongoDB
475,1123,Microsoft SQL Server
476,1126,Microsoft SQL Server
476,1126,Oracle
476,1126,SQLite
477,1127,Microsoft SQL Server
478,1128,Firebase
479,1129,MongoDB
480,1131,Firebase
480,1131,MariaDB
480,1131,MySQL
481,1132,Elasticsearch
481,1132,PostgreSQL
481,1132,SQLite
482,1133,
483,1136,Cassandra
483,1136,Other(s):
484,1144,Microsoft SQL Server
484,1144,MySQL
484,1144,Redis
484,1144,SQLite
485,1145,PostgreSQL
485,1145,Redis
486,1146,MongoDB
486,1146,Microsoft SQL Server
486,1146,MySQL
487,1149,Firebase
487,1149,MongoDB
487,1149,MySQL
487,1149,SQLite
488,1150,MariaDB
488,1150,MongoDB
488,1150,Microsoft SQL Server
488,1150,MySQL
488,1150,PostgreSQL
488,1150,SQLite
489,1151,Microsoft SQL Server
489,1151,PostgreSQL
490,1152,MySQL
490,1152,Redis
490,1152,SQLite
491,1153,PostgreSQL
491,1153,Redis
491,1153,SQLite
492,1154,MySQL
493,1158,Elasticsearch
493,1158,MongoDB
493,1158,Redis
493,1158,Other(s):
494,1161,MongoDB
494,1161,PostgreSQL
494,1161,Redis
495,1162,MySQL
496,1164,DynamoDB
496,1164,MariaDB
496,1164,Microsoft SQL Server
497,1165,DynamoDB
497,1165,PostgreSQL
497,1165,Redis
498,1166,Elasticsearch
498,1166,MongoDB
499,1167,DynamoDB
499,1167,Elasticsearch
499,1167,MongoDB
499,1167,PostgreSQL
499,1167,Redis
500,1169,PostgreSQL
500,1169,SQLite
501,1181,Elasticsearch
501,1181,MongoDB
501,1181,MySQL
501,1181,PostgreSQL
501,1181,Redis
502,1182,
503,1185,MongoDB
504,1186,Microsoft SQL Server
504,1186,MySQL
504,1186,PostgreSQL
505,1187,PostgreSQL
505,1187,Redis
505,1187,SQLite
506,1188,Elasticsearch
507,1190,Firebase
507,1190,MongoDB
508,1193,Couchbase
508,1193,PostgreSQL
508,1193,SQLite
509,1194,Elasticsearch
509,1194,PostgreSQL
510,1197,
511,1201,Elasticsearch
511,1201,Firebase
511,1201,PostgreSQL
511,1201,SQLite
512,1202,
513,1205,Firebase
513,1205,MongoDB
513,1205,Microsoft SQL Server
514,1206,Couchbase
514,1206,MongoDB
514,1206,Microsoft SQL Server
514,1206,MySQL
514,1206,Oracle
515,1207,Elasticsearch
515,1207,MySQL
515,1207,PostgreSQL
