,Respondent,DatabaseWorkedWith
246,596,PostgreSQL
246,596,Redis
246,596,SQLite
247,598,DynamoDB
247,598,Elasticsearch
247,598,MongoDB
247,598,MySQL
247,598,PostgreSQL
247,598,Redis
248,602,Microsoft SQL Server
248,602,MySQL
248,602,PostgreSQL
248,602,SQLite
249,603,MongoDB
249,603,PostgreSQL
250,604,MariaDB
250,604,MySQL
250,604,Oracle
250,604,SQLite
251,607,Microsoft SQL Server
251,607,Other(s):
252,608,Cassandra
252,608,MongoDB
252,608,MySQL
252,608,Redis
253,613,Microsoft SQL Server
253,613,MySQL
254,614,MySQL
255,615,Microsoft SQL Server
255,615,PostgreSQL
256,626,Oracle
257,628,Elasticsearch
257,628,PostgreSQL
257,628,Redis
258,637,Microsoft SQL Server
258,637,MySQL
258,637,SQLite
259,639,Firebase
259,639,PostgreSQL
260,640,
261,643,Microsoft SQL Server
261,643,MySQL
262,645,Microsoft SQL Server
262,645,MySQL
263,650,
264,654,Cassandra
264,654,DynamoDB
264,654,Elasticsearch
264,654,Oracle
265,657,PostgreSQL
266,658,MySQL
267,659,Cassandra
267,659,MongoDB
267,659,Redis
268,660,Elasticsearch
268,660,Oracle
269,661,Microsoft SQL Server
269,661,MySQL
269,661,Redis
269,661,SQLite
270,664,Firebase
270,664,MariaDB
270,664,MongoDB
270,664,MySQL
270,664,SQLite
271,665,PostgreSQL
272,666,Microsoft SQL Server
273,667,MySQL
274,668,MySQL
274,668,PostgreSQL
274,668,SQLite
275,669,Microsoft SQL Server
275,669,PostgreSQL
275,669,SQLite
275,669,Other(s):
276,670,Microsoft SQL Server
277,671,MariaDB
277,671,MySQL
277,671,PostgreSQL
277,671,Redis
278,674,MongoDB
278,674,MySQL
278,674,PostgreSQL
279,675,Microsoft SQL Server
279,675,MySQL
279,675,Oracle
279,675,SQLite
279,675,Other(s):
280,677,Other(s):
281,680,Microsoft SQL Server
282,683,Elasticsearch
282,683,MySQL
282,683,PostgreSQL
282,683,Redis
283,685,MariaDB
283,685,PostgreSQL
283,685,SQLite
284,686,Microsoft SQL Server
284,686,MySQL
285,688,MariaDB
285,688,MongoDB
285,688,MySQL
286,689,Microsoft SQL Server
287,691,MySQL
288,693,MariaDB
288,693,MySQL
288,693,Redis
289,694,MySQL
289,694,PostgreSQL
289,694,SQLite
290,695,Microsoft SQL Server
290,695,Oracle
291,696,Microsoft SQL Server
292,697,Elasticsearch
292,697,MariaDB
292,697,MongoDB
292,697,PostgreSQL
293,699,MySQL
293,699,SQLite
294,703,MongoDB
294,703,Microsoft SQL Server
294,703,MySQL
294,703,PostgreSQL
294,703,Redis
295,705,Redis
295,705,Other(s):
296,707,Elasticsearch
296,707,MongoDB
296,707,MySQL
296,707,SQLite
297,708,PostgreSQL
297,708,Other(s):
298,712,
299,714,MariaDB
299,714,MySQL
300,715,MariaDB
300,715,MySQL
301,718,Microsoft SQL Server
301,718,MySQL
302,721,MongoDB
302,721,PostgreSQL
303,724,
304,725,Microsoft SQL Server
305,731,MySQL
306,732,Microsoft SQL Server
307,736,MySQL
307,736,Oracle
308,740,DynamoDB
308,740,Elasticsearch
308,740,Microsoft SQL Server
308,740,MySQL
308,740,SQLite
309,741,DynamoDB
309,741,Firebase
309,741,MongoDB
309,741,MySQL
309,741,PostgreSQL
309,741,SQLite
310,742,PostgreSQL
310,742,Redis
310,742,SQLite
311,743,MariaDB
311,743,MongoDB
311,743,MySQL
311,743,Redis
312,744,Other(s):
313,746,Couchbase
313,746,Elasticsearch
313,746,MariaDB
313,746,MySQL
313,746,PostgreSQL
313,746,Redis
313,746,SQLite
314,749,Microsoft SQL Server
315,751,Couchbase
315,751,Elasticsearch
315,751,MariaDB
315,751,MongoDB
315,751,MySQL
315,751,Redis
315,751,SQLite
316,752,Microsoft SQL Server
317,757,MongoDB
317,757,Microsoft SQL Server
317,757,MySQL
318,758,MariaDB
319,761,Firebase
319,761,MariaDB
319,761,MongoDB
319,761,Microsoft SQL Server
319,761,MySQL
320,762,Microsoft SQL Server
321,764,Oracle
322,765,
323,768,Elasticsearch
323,768,Microsoft SQL Server
323,768,MySQL
323,768,PostgreSQL
323,768,Redis
323,768,SQLite
324,769,Elasticsearch
324,769,Firebase
324,769,MySQL
324,769,PostgreSQL
324,769,Redis
325,771,PostgreSQL
325,771,Redis
326,773,Firebase
326,773,MariaDB
326,773,MySQL
326,773,PostgreSQL
326,773,Redis
327,774,Couchbase
327,774,Elasticsearch
327,774,Microsoft SQL Server
327,774,PostgreSQL
327,774,Redis
328,776,MySQL
329,777,SQLite
330,779,DynamoDB
330,779,MySQL
331,780,Oracle
332,781,Elasticsearch
332,781,Microsoft SQL Server
332,781,Oracle
332,781,Redis
332,781,SQLite
333,786,MySQL
333,786,PostgreSQL
334,791,Microsoft SQL Server
334,791,PostgreSQL
335,795,MongoDB
335,795,Microsoft SQL Server
335,795,MySQL
336,797,
337,801,Oracle
338,805,
339,812,MariaDB
339,812,MongoDB
339,812,Microsoft SQL Server
339,812,MySQL
340,814,Microsoft SQL Server
340,814,PostgreSQL
340,814,Redis
340,814,SQLite
341,816,MariaDB
341,816,MySQL
342,817,MariaDB
342,817,PostgreSQL
342,817,Redis
342,817,SQLite
343,827,MySQL
343,827,Oracle
343,827,PostgreSQL
343,827,SQLite
344,828,Microsoft SQL Server
345,829,MongoDB
346,830,DynamoDB
346,830,MongoDB
346,830,MySQL
346,830,Oracle
346,830,PostgreSQL
347,831,MySQL
348,832,Firebase
348,832,Microsoft SQL Server
348,832,MySQL
348,832,SQLite
349,837,MySQL
349,837,PostgreSQL
349,837,SQLite
350,842,
351,843,MariaDB
351,843,Microsoft SQL Server
351,843,MySQL
351,843,PostgreSQL
351,843,Redis
352,845,Firebase
352,845,Microsoft SQL Server
352,845,Oracle
353,846,MongoDB
353,846,Redis
353,846,SQLite
354,848,MySQL
354,848,SQLite
355,850,MongoDB
355,850,Oracle
356,853,MySQL
357,857,Microsoft SQL Server
358,859,Microsoft SQL Server
358,859,MySQL
358,859,Oracle
358,859,Other(s):
359,860,Firebase
359,860,MongoDB
359,860,Oracle
360,861,MongoDB
360,861,Microsoft SQL Server
360,861,MySQL
360,861,Oracle
361,864,MySQL
361,864,SQLite
362,865,MySQL
363,869,SQLite
364,870,DynamoDB
364,870,Elasticsearch
364,870,MongoDB
364,870,MySQL
364,870,PostgreSQL
364,870,Redis
364,870,SQLite
365,871,Microsoft SQL Server
365,871,MySQL
365,871,Oracle
365,871,PostgreSQL
365,871,SQLite
366,873,SQLite
367,874,Elasticsearch
367,874,Firebase
367,874,PostgreSQL
368,880,MongoDB
368,880,MySQL
369,882,MySQL
369,882,SQLite
370,883,
371,885,Firebase
371,885,MongoDB
371,885,MySQL
371,885,PostgreSQL
372,890,Firebase
373,893,MariaDB
373,893,MySQL
373,893,Oracle
373,893,SQLite
374,895,DynamoDB
374,895,Elasticsearch
374,895,MySQL
374,895,SQLite
375,896,MySQL
375,896,PostgreSQL
375,896,SQLite
376,898,Elasticsearch
376,898,MongoDB
376,898,MySQL
376,898,Oracle
376,898,PostgreSQL
377,899,MongoDB
378,900,Microsoft SQL Server
378,900,Oracle
378,900,PostgreSQL
378,900,SQLite
379,901,DynamoDB
379,901,Microsoft SQL Server
380,907,MySQL
380,907,PostgreSQL
380,907,Redis
380,907,SQLite
380,907,Other(s):
381,909,Microsoft SQL Server
381,909,PostgreSQL
381,909,Redis
382,910,Elasticsearch
382,910,MySQL
382,910,PostgreSQL
382,910,Redis
383,913,MongoDB
383,913,MySQL
384,914,Microsoft SQL Server
385,916,Microsoft SQL Server
386,917,Microsoft SQL Server
387,918,MySQL
388,922,MySQL
389,923,MongoDB
389,923,Oracle
390,926,PostgreSQL
391,927,MariaDB
391,927,Microsoft SQL Server
391,927,MySQL
391,927,SQLite
392,929,Firebase
392,929,MongoDB
392,929,MySQL
392,929,SQLite
393,930,Elasticsearch
393,930,Microsoft SQL Server
394,932,Microsoft SQL Server
395,934,MySQL
395,934,Oracle
395,934,PostgreSQL
395,934,Redis
396,935,Microsoft SQL Server
396,935,Redis
397,939,MariaDB
397,939,Microsoft SQL Server
397,939,MySQL
398,942,Oracle
399,945,Oracle
400,948,Microsoft SQL Server
400,948,PostgreSQL
401,949,DynamoDB
401,949,MariaDB
401,949,MongoDB
401,949,PostgreSQL
401,949,SQLite
402,951,Couchbase
403,952,Elasticsearch
403,952,Microsoft SQL Server
403,952,Redis
404,953,MySQL
405,955,Firebase
406,957,Microsoft SQL Server
406,957,MySQL
406,957,Oracle
407,958,Microsoft SQL Server
408,959,Microsoft SQL Server
408,959,PostgreSQL
408,959,Redis
409,962,
410,965,Firebase
410,965,MySQL
410,965,PostgreSQL
410,965,Redis
410,965,SQLite
411,970,Microsoft SQL Server
411,970,Oracle
411,970,SQLite
412,973,Oracle
412,973,PostgreSQL
412,973,SQLite
413,975,Elasticsearch
413,975,MySQL
413,975,PostgreSQL
413,975,SQLite
414,977,MongoDB
414,977,Microsoft SQL Server
414,977,MySQL
415,978,Elasticsearch
415,978,Microsoft SQL Server
415,978,PostgreSQL
415,978,Redis
416,979,
417,981,Couchbase
417,981,MongoDB
417,981,Microsoft SQL Server
417,981,Redis
418,983,Microsoft SQL Server
418,983,MySQL
419,987,Cassandra
419,987,Couchbase
419,987,MariaDB
419,987,MongoDB
419,987,MySQL
419,987,Oracle
419,987,PostgreSQL
419,987,Redis
419,987,SQLite
419,987,Other(s):
420,1005,DynamoDB
420,1005,MongoDB
420,1005,MySQL
421,1006,Cassandra
421,1006,Elasticsearch
421,1006,MongoDB
421,1006,MySQL
421,1006,Redis
422,1007,DynamoDB
422,1007,Elasticsearch
422,1007,MySQL
422,1007,PostgreSQL
422,1007,Redis
423,1009,Microsoft SQL Server
424,1010,Firebase
424,1010,SQLite
424,1010,Other(s):
425,1013,MongoDB
425,1013,MySQL
426,1014,PostgreSQL
427,1015,Couchbase
427,1015,Elasticsearch
427,1015,PostgreSQL
428,1017,MongoDB
428,1017,MySQL
429,1022,DynamoDB
429,1022,MongoDB
429,1022,MySQL
429,1022,Redis
429,1022,Other(s):
430,1023,Microsoft SQL Server
430,1023,Other(s):
431,1027,
432,1030,Microsoft SQL Server
432,1030,MySQL
432,1030,PostgreSQL
433,1033,Microsoft SQL Server
434,1034,Elasticsearch
434,1034,MySQL
434,1034,PostgreSQL
434,1034,Other(s):
435,1035,MongoDB
435,1035,Microsoft SQL Server
435,1035,MySQL
435,1035,Oracle
435,1035,PostgreSQL
436,1036,MySQL
437,1037,Firebase
437,1037,PostgreSQL
437,1037,Redis
438,1038,MariaDB
438,1038,MongoDB
438,1038,SQLite
439,1039,MySQL
439,1039,Oracle
439,1039,PostgreSQL
439,1039,Redis
439,1039,SQLite
440,1042,MariaDB
440,1042,MongoDB
440,1042,MySQL
441,1043,PostgreSQL
441,1043,Redis
442,1045,Microsoft SQL Server
443,1050,MariaDB
443,1050,MySQL
444,1051,Firebase
444,1051,Microsoft SQL Server
444,1051,MySQL
444,1051,Redis
445,1054,Cassandra
445,1054,MariaDB
445,1054,Microsoft SQL Server
445,1054,Redis
446,1055,MongoDB
